Description,MinutesToMidnight,Summary,Time,Year
"Global military spending continues at Cold War levels amid concerns about post-Soviet nuclear proliferation of weapons and brainpower.",14,"Cold War-level military spending continues.",23:46,1995
"Both India (Pokhran-II) and Pakistan (Chagai-I) test nuclear weapons in a tit-for-tat show of aggression; the United States and Russia run into difficulties in further reducing stockpiles.",9,"India and Pakistan test nuclear weapons.",23:51,1998
"Little progress on global nuclear disarmament. United States rejects a series of arms control treaties and announces its intentions to withdraw from the Anti-Ballistic Missile Treaty, amid concerns about the possibility of a nuclear terrorist attack due to the amount of weapon-grade nuclear materials that are unsecured and unaccounted for worldwide.",7,"U.S. rejects arms treaties; nuclear disarmament stalls.",23:53,2002
"North Korea tests a nuclear weapon in October 2006, Iran's nuclear ambitions, a renewed American emphasis on the military utility of nuclear weapons, the failure to adequately secure nuclear materials, and the continued presence of some 26,000 nuclear weapons in the United States and Russia. After assessing the dangers posed to civilization, climate change was added to the prospect of nuclear annihilation as the greatest threats to humanity.",5,"North Korea tests nukes; climate change added to threats.",23:55,2007
"Worldwide cooperation to reduce nuclear arsenals and limit effect of climate change. The New START agreement is ratified by both the United States and Russia, and more negotiations for further reductions in the American and Russian nuclear arsenal are already planned. The 2009 United Nations Climate Change Conference in Copenhagen results in the developing and industrialized countries agreeing to take responsibility for carbon emissions and to limit global temperature rise to 2 degrees Celsius.",6,"New START ratified; climate change cooperation.",23:54,2010
"Lack of global political action to address global climate change, nuclear weapons stockpiles, the potential for regional nuclear conflict, and nuclear power safety.",5,"Lack of action on climate change and nuclear safety.",23:55,2012
"Concerns amid continued lack of global political action to address global climate change, the modernization of nuclear weapons in the United States and Russia, and the problem of nuclear waste.",3,"No action on climate change; nuclear modernization concerns.",23:57,2015
"United States President Donald Trump's comments over nuclear weapons, the threat of a renewed arms race between the U.S. and Russia, and the expressed disbelief in the scientific consensus over climate change by the Trump administration. This is the first setting not to express a full minute figure.",2.5,"Trump's nuclear comments; disbelief in climate change.",23:57:30,2017
"Failure of world leaders to deal with looming threats of nuclear war and climate change. This is the clock's third closest approach to midnight, matching that of 1953. In 2019, the Bulletin reaffirmed the 'two minutes to midnight' time, citing continuing climate change and Trump administration's abandonment of U.S. efforts to lead the world toward decarbonization; U.S. withdrawal from the Paris Agreement, the Joint Comprehensive Plan of Action, and the Intermediate-Range Nuclear Forces Treaty; U.S. and Russian nuclear modernization efforts; information warfare threats and other dangers from 'disruptive technologies' such as synthetic biology, artificial intelligence, and cyberwarfare.",2,"Leaders fail on nuclear, climate; disruptive tech threats.",23:58,2018
"Failure of world leaders to deal with the increased threats of nuclear war, such as the end of the Intermediate-Range Nuclear Forces Treaty (INF) between the United States and Russia as well as increased tensions between the U.S. and Iran, along with the continued neglect of climate change. Announced in units of seconds, instead of minutes; this is the clock's second closest approach to midnight, exceeding that of 1953 and 2018. The Bulletin concluded by stating that the current issues causing the adjustment are 'the most dangerous situation that humanity has ever faced'. In the annual statements for 2021 and 2022, issued in January of each year, the Bulletin left the '100 seconds to midnight' time setting unchanged.",1.6667,"Leaders neglect nuclear threats; climate change ignored.",23:58:20,2020
"Due largely–but not exclusively–to the Russian invasion of Ukraine and the increased risk of nuclear escalation stemming from the conflict. Russia suspended its participation in the last remaining nuclear weapons treaty between it and the United States, New START. Russia also brought its war to the Chernobyl and Zaporizhzhia nuclear reactor sites, violating international protocols and risking widespread release of radioactive materials. North Korea resumed its nuclear rhetoric, launching an intermediate-range ballistic missile test over Japan in October 2022. Continuing threats posed by the climate crisis and the breakdown of global norms and institutions set up to mitigate risks associated with advancing technologies and biological threats such as COVID-19 also contributed to the time setting. This setting remained unchanged the next year, 2024, thus remaining the closest to midnight the Clock has been since its inception.",1.5,"Ukraine invasion increases nuclear risk; climate crisis ongoing.",23:58:30,2023
